Kategoria uczniów,Uczniowie,Waga,Uczniowie przelicz.,Kwota razem w zł,Kategoria uczniów (cleared),Kategoria uczniów (shortcut)
1 Sa - Ucz. statyst. szkół publ./npubl. - młodzież [2],"3 086,1887","1,00","3 069,1161889668","21 172 881,78",Sa - Ucz. statyst. szkół publ./npubl. - młodzież [2],Sa
2 Sb - Ucz. statyst. szkół publicznych - dor. stac. [3],"0,00","0,70","0,00","0,00",Sb - Ucz. statyst. szkół publicznych - dor. stac. [3],Sb
3 Sc - Ucz. statyst. szkół niepublicznych - dor. stac.,"0,00","0,35","0,00","0,00",Sc - Ucz. statyst. szkół niepublicznych - dor. stac.,Sc
4 Sd - Ucz. statyst. szkół publicznych - dor. zao.,"0,00","0,42","0,00","0,00",Sd - Ucz. statyst. szkół publicznych - dor. zao.,Sd
5 Se - Ucz. statyst. szkół niepublicznych - dor. zao.,"0,00","0,18","0,00","0,00",Se - Ucz. statyst. szkół niepublicznych - dor. zao.,Se
6 Sf - Ucz. objęci naucz.dom.i poza szk. <= 200 ucz.,"4,00","0,80","3,18","21 953,69",Sf - Ucz. objęci naucz.dom.i poza szk. <= 200 ucz.,Sf
7 Sf1 - Ucz. objęci naucz.dom.i poza szk. > 200 ucz. wsk < 30%,"0,00","0,20","0,00","0,00",Sf1 - Ucz. objęci naucz.dom.i poza szk. > 200 ucz. wsk < 30%,Sf1
8 Sf2 - Ucz. objęci naucz.dom.i poza szk. > 200 ucz. wsk >= 30%,"0,00","0,40","0,00","0,00",Sf2 - Ucz. objęci naucz.dom.i poza szk. > 200 ucz. wsk >= 30%,Sf2
9 Sg - Ucz. niepublicznych szk. policealnych - dor. zao.,"0,00","0,01","0,00","0,00",Sg - Ucz. niepublicznych szk. policealnych - dor. zao.,Sg
10 Sh - Ucz. niepublicznych LO - dor. zao.,"0,00","0,01","0,00","0,00",Sh - Ucz. niepublicznych LO - dor. zao.,Sh
11 Si - Ucz. pub. LO dla dor. i szk. polic dla dor. zaocz.,"0,00","0,30","0,00","0,00",Si - Ucz. pub. LO dla dor. i szk. polic dla dor. zaocz.,Si
12 Sj - Ucz. niepub. LO dla dor. stac.,"0,00","0,04","0,00","0,00",Sj - Ucz. niepub. LO dla dor. stac.,Sj
13 Sk - Ucz. niepub. szk. polic. dla dor. stac.,"0,00","0,01","0,00","0,00",Sk - Ucz. niepub. szk. polic. dla dor. stac.,Sk
14 Sl - Ucz. pub. szk. policealnych dla dzieci i młodzieży,"0,00","0,81","0,00","0,00",Sl - Ucz. pub. szk. policealnych dla dzieci i młodzieży,Sl
15 Sm - Ucz. niepub. szk. policealnych dla dzieci i młodz.,"0,00","0,17","0,00","0,00",Sm - Ucz. niepub. szk. policealnych dla dzieci i młodz.,Sm
16 Sn - Ucz. BSII pub. npub. dzienne,"0,00","0,52","0,00","0,00",Sn - Ucz. BSII pub. npub. dzienne,Sn
17 So - Ucz. BSII pub. zaoczne,"0,00","0,21","0,00","0,00",So - Ucz. BSII pub. zaoczne,So
18 Sp - Ucz. BSII npub. zaoczne,"0,00","0,10","0,00","0,00",Sp - Ucz. BSII npub. zaoczne,Sp
"19 Sr - Ucz. LO, szk. polic, dor. stac. pub.","0,00","0,54","0,00","0,00","Sr - Ucz. LO, szk. polic, dor. stac. pub.",Sr
20 P1 - Ucz. szk. podst.wieś/mias. do 5 tys.m. wsk.zam<=1.4,"0,00","0,40","0,00","0,00",P1 - Ucz. szk. podst.wieś/mias. do 5 tys.m. wsk.zam<=1.4,P1
21 P2 - Ucz. szk. podst.wieś/mias. do 5 tys.m. wsk.zam>1.4,"0,00","0,20","0,00","0,00",P2 - Ucz. szk. podst.wieś/mias. do 5 tys.m. wsk.zam>1.4,P2
22 P3 - Ucz. publ-npubl. szk. dla dz. i mł. w poł. ze wsk. zamożn,"0,00","0,33","0,00","0,00",P3 - Ucz. publ-npubl. szk. dla dz. i mł. w poł. ze wsk. zamożn,P3
23 P4 - Ucz. szkół podstawowych - 'małe szkoły',"0,00","0,20","0,00","0,00",P4 - Ucz. szkół podstawowych - 'małe szkoły',P4
24 P5 - Ucz. z niepełnosprawnością i niedostosowani - grupa A,"15,00","1,40","20,88","144 071,07",P5 - Ucz. z niepełnosprawnością i niedostosowani - grupa A,P5
25 P6 - Ucz. z niepełnosprawnością - grupa B,"14,00","2,90","40,38","278 537,41",P6 - Ucz. z niepełnosprawnością - grupa B,P6
26 P7 - Ucz. z niepełnosprawnością - grupa C,"4,00","3,60","14,32","98 791,59",P7 - Ucz. z niepełnosprawnością - grupa C,P7
27 P8 - Ucz. z niepełnosprawnością - grupa D [4],"57,00","9,50","538,50","3 714 975,52",P8 - Ucz. z niepełnosprawnością - grupa D [4],P8
28 P9 - Ucz. z niepełnosprawnością w oddziałach integr.,"22,00","0,80","17,50","120 745,28",P9 - Ucz. z niepełnosprawnością w oddziałach integr.,P9
29 P10 - Ucz. szkół ponadgimn. i ponadpodst.,"0,00","0,08","0,00","0,00",P10 - Ucz. szkół ponadgimn. i ponadpodst.,P10
30 P11 - Uczn. liceów ogólnokształcących dla młodzieży,"0,00","0,12","0,00","0,00",P11 - Uczn. liceów ogólnokształcących dla młodzieży,P11
"31 P12 - Absolwenci LO, szk. policealne - zdali, ukończyli kursy","0,00","0,40","0,00","0,00","P12 - Absolwenci LO, szk. policealne - zdali, ukończyli kursy",P12
32 P13 - Absolwenci LO niepubl. dor. - zdali,"0,00","0,95","0,00","0,00",P13 - Absolwenci LO niepubl. dor. - zdali,P13
33 P14 - Abspolwenci szk. policealnych niepubl.,"0,00","0,85","0,00","0,00",P14 - Abspolwenci szk. policealnych niepubl.,P14
"34 P15 - Ucz. szk. policealnych, kolegiów, szk. przysposabia.","0,00","0,23","0,00","0,00","P15 - Ucz. szk. policealnych, kolegiów, szk. przysposabia.",P15
35 P16 - Ucz. szk. zawodowych - grupa A,"0,00","0,40","0,00","0,00",P16 - Ucz. szk. zawodowych - grupa A,P16
36 P17 - Ucz. szk. zawodowych - grupa B,"0,00","0,35","0,00","0,00",P17 - Ucz. szk. zawodowych - grupa B,P17
37 P18 - Ucz. szk. zawodowych - grupa C,"0,00","0,29","0,00","0,00",P18 - Ucz. szk. zawodowych - grupa C,P18
